Interface usage;;;;;
TotalNumberOfAddActions;48;;;;
TotalNumberOfTotalChangeActions;28;;;;
TotalNumberOfManualChangeActions;10;;;;
TotalNumberOfAutomatedChangeActions;18;;;;
TotalNumberOfRemoveActions;7;;;;
Time spent;;;;;
TotalTimeSpent;58831552578;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;6873391429;;;;
bedroomprincess1;7445114553;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;10687330986;;;;
corridor1;8758715960;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;2147582524;3136072944;3136072944;0;108737080
bedroomprincess1;5667684196;622855681;622855681;0;173586835
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;4909839784;682816000;682816000;0;117946887
corridor1;3564903874;1791091611;1791091611;694214242;165851906
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
throne;1;;;;
table;7;;;;
king;1;;;;
chair;4;;;;
prince;1;;;;
princess;4;;;;
maiden;1;;;;
bed;2;;;;
type2closet;2;;;;
type1closet;2;;;;
beddresser;3;;;;
sofa;5;;;;
writingdesk;2;;;;
dresser;2;;;;
poison;1;;;;
faucet;1;;;;
TimesARelationshipIsUsed;;;;;
on;1;;;;
on;7;;;;
on;7;;;;
on;4;;;;
left;1;;;;
right;1;;;;
on;2;;;;
on;4;;;;
on;3;;;;
back;3;;;;
on;5;;;;
on;2;;;;
on;2;;;;
on;1;;;;
on;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;throne;1;;;
throneroom1;table;4;;;
throneroom1;king;1;;;
throneroom1;chair;2;;;
throneroom1;prince;1;;;
throneroom1;princess;1;;;
throneroom1;maiden;1;;;
bedroomprincess1;floor;1;;;
bedroomprincess1;bed;1;;;
bedroomprincess1;type2closet;1;;;
bedroomprincess1;type1closet;1;;;
bedroomprincess1;beddresser;2;;;
bedroomprincess1;chair;1;;;
bedroomprincess1;sofa;3;;;
bedroomprincess1;table;2;;;
bedroomprincess1;writingdesk;1;;;
bedroomprincess1;dresser;1;;;
bedroomprincess1;poison;1;;;
bedroomprincess1;princess;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
prison1;bed;1;;;
prison1;faucet;1;;;
prison1;writingdesk;1;;;
prison1;chair;1;;;
prison1;beddresser;1;;;
prison1;dresser;1;;;
prison1;princess;1;;;
corridor1;floor;1;;;
corridor1;table;1;;;
corridor1;type2closet;1;;;
corridor1;sofa;2;;;
corridor1;type1closet;1;;;
corridor1;princess;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;1;;;
throneroom1;on;4;;;
throneroom1;on;4;;;
throneroom1;on;2;;;
throneroom1;left;1;;;
throneroom1;right;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;2;;;
bedroomprincess1;on;2;;;
bedroomprincess1;back;2;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;3;;;
bedroomprincess1;on;2;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;back;1;;;
prison1;on;1;;;
prison1;on;1;;;
corridor1;on;1;;;
corridor1;on;2;;;
corridor1;on;2;;;
corridor1;on;1;;;
