Interface usage;;;;;
TotalNumberOfAddActions;9;;;;
TotalNumberOfTotalChangeActions;3;;;;
TotalNumberOfManualChangeActions;0;;;;
TotalNumberOfAutomatedChangeActions;3;;;;
TotalNumberOfRemoveActions;0;;;;
Time spent;;;;;
TotalTimeSpent;9608270377;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;2103351930;;;;
bedroomprincess1;0;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;24408874;;;;
corridor1;2599897580;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;1380888891;0;0;0;0
bedroomprincess1;0;0;0;0;0
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;0;0;0;0;0
corridor1;1209741101;235607623;169526724;66080899;0
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
prince;1;;;;
princess;2;;;;
king;1;;;;
throne;1;;;;
chair;1;;;;
type1closet;1;;;;
bed;1;;;;
type2closet;1;;;;
TimesARelationshipIsUsed;;;;;
on;4;;;;
on;1;;;;
on;1;;;;
left;1;;;;
on;2;;;;
on;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;prince;1;;;
throneroom1;princess;1;;;
throneroom1;king;1;;;
throneroom1;throne;1;;;
throneroom1;chair;1;;;
bedroomprincess1;floor;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
corridor1;floor;1;;;
corridor1;type1closet;1;;;
corridor1;bed;1;;;
corridor1;type2closet;1;;;
corridor1;princess;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;3;;;
throneroom1;on;1;;;
throneroom1;on;1;;;
throneroom1;left;1;;;
corridor1;on;2;;;
corridor1;on;1;;;
corridor1;on;1;;;
