TangibleObjects;;;;;;;;;;
ParticipantID;floor;throne;chair;king;prince;princess;bed;table;poison;dresser
1;7;1;3;1;2;4;2;2;1;1
2; ;;;;;;;;;
3;;;;;;;;;;
4;;;;;;;;;;
5;;;;;;;;;;
6;;;;;;;;;;
7;;;;;;;;;;
8;;;;;;;;;;
9;;;;;;;;;;
10;;;;;;;;;;
11;;;;;;;;;;
12;;;;;;;;;;
13;;;;;;;;;;
;;;;;;;;;;
Relationships;;;;;;;;;;
ParticipantID;on;on;left;on;on;on;on;on;;
1;1;3;1;7;2;2;1;1;;
2; ;;;;;;;;;
3;;;;;;;;;;
4;;;;;;;;;;
5;;;;;;;;;;
6;;;;;;;;;;
7;;;;;;;;;;
8;;;;;;;;;;
9;;;;;;;;;;
10;;;;;;;;;;
11;;;;;;;;;;
12;;;;;;;;;;
13;;;;;;;;;;
